"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sce04111","sce04111","Cell cycle - yeast","130/1985","130/2408",5.72630080340398e-12,5.49724877126783e-10,2.83301197642092e-10,"YAL016W/YCL024W/YJR046W/YLR272C/YJL187C/YPR119W/YJR053W/YDR451C/YAL024C/YBR160W/YEL032W/YGR098C/YIL026C/YDL028C/YBR060C/YFR036W/YLR079W/YLR103C/YPR120C/YBR136W/YML064C/YDR113C/YMR199W/YPR019W/YJL030W/YJL194W/YGR188C/YDR180W/YGL240W/YDR118W/YIL106W/YLR210W/YFR034C/YER111C/YLR288C/YPR111W/YKL022C/YLR176C/YDR499W/YDL188C/YGL003C/YDL155W/YER173W/YMR036C/YNL261W/YBR135W/YHR166C/YAR019C/YGR108W/YBL084C/YFL008W/YOR026W/YGL086W/YHR215W/YJL074C/YML027W/YDL056W/YGR109C/YOR083W/YAR071W/YOR368W/YLR274W/YBL016W/YDL106C/YPL031C/YJL157C/YMR001C/YFL029C/YDR507C/YDL003W/YBR202W/YDL127W/YJR090C/YPL194W/YDL101C/YLR102C/YPL256C/YGL190C/YPL153C/YBL023C/YLR086W/YMR043W/YER147C/YOR249C/YKL101W/YPR162C/YDR146C/YBR133C/YGL116W/YGL201C/YMR055C/YLR127C/YDL008W/YGR233C/YGR092W/YNL289W/YBR093C/YGR040W/YIL046W/YGR113W/YML065W/YFR028C/YDL134C/YCL061C/YOL133W/YCR084C/YHR152W/YBR274W/YDR328C/YNL172W/YDR325W/YDL179W/YBR112C/YOR195W/YFR031C/YLR182W/YDR260C/YBL097W/YDL017W/YJL013C/YDL132W/YDR110W/YOL001W/YHR118C/YDR217C/YDR052C/YAL040C/YLL004W/YFL009W/YJL076W",130
"sce01110","sce01110","Biosynthesis of secondary metabolites","325/1985","351/2408",3.47664246084289e-09,1.66878838120459e-07,8.60011556103242e-08,"YCL040W/YBR115C/YMR318C/YDL182W/YDR232W/YBR019C/YDR158W/YMR105C/YNR001C/YDL015C/YHR007C/YMR202W/YMR083W/YPL111W/YLR180W/YFL018C/YDL045C/YJR130C/YKR058W/YHR025W/YEL046C/YOR274W/YNL277W/YML075C/YGL026C/YNR041C/YGL256W/YGL012W/YNL104C/YDL066W/YDR539W/YLR056W/YNL169C/YDL131W/YML056C/YOR108W/YGL040C/YBR176W/YLR304C/YPL172C/YLR027C/YCR005C/YDR487C/YBL068W/YLL062C/YJR009C/YGR248W/YMR120C/YDR287W/YFR055W/YBR117C/YER141W/YAL038W/YOR202W/YDR354W/YGR157W/YER170W/YOR311C/YDR284C/YDR050C/YLR153C/YER052C/YBR002C/YMR110C/YOR142W/YDL171C/YFL045C/YKR089C/YMR300C/YDR410C/YLR058C/YKL035W/YPR006C/YDL052C/YDR236C/YAL060W/YHR208W/YER081W/YNL009W/YKL148C/YGR208W/YNL071W/YGR255C/YDL022W/YER178W/YOL056W/YPL061W/YJR019C/YNL117W/YER003C/YJR010W/YHR163W/YIR034C/YNL280C/YGR087C/YDR127W/YGR043C/YJL052W/YML100W/YGL184C/YEL011W/YJR139C/YDR001C/YMR207C/YIR031C/YBR126C/YIL074C/YNR034W/YDR408C/YDR019C/YML008C/YLR377C/YHR190W/YBR159W/YOL059W/YNR016C/YGR175C/YPR001W/YNR043W/YGL009C/YDR148C/YMR208W/YCL009C/YMR189W/YBR003W/YKL181W/YDL021W/YBR248C/YBR145W/YLR303W/YMR274C/YJL153C/YJL088W/YHR046C/YJL137C/YDR502C/YLR432W/YOR175C/YPR184W/YKL141W/YIL094C/YJR016C/YGL253W/YLR044C/YER014W/YOR323C/YIL155C/YMR205C/YPR074C/YGL202W/YMR261C/YOR128C/YBR256C/YDR032C/YOL033W/YKR097W/YDL166C/YJR117W/YCR073W-A/YDR503C/YLR209C/YDR047W/YLR438W/YPR145W/YDR044W/YAL054C/YOR081C/YGR244C/YCR053W/YBR029C/YCL030C/YMR303C/YHR174W/YJL167W/YGR170W/YDR256C/YLR142W/YBL033C/YBR263W/YKL067W/YDL090C/YPL262W/YKR031C/YDR035W/YOR184W/YDL055C/YGR240C/YHR063C/YBR166C/YJL200C/YOR278W/YHR018C/YOR095C/YFL030W/YKR069W/YBR001C/YMR250W/YOL143C/YLR450W/YDR300C/YDL168W/YGR256W/YKL055C/YGR192C/YDR321W/YOR125C/YKL019W/YKL184W/YBR196C/YOR176W/YFR053C/YAL061W/YIL160C/YHR123W/YGL001C/YDR074W/YGR124W/YCL018W/YMR170C/YOL061W/YMR165C/YER023W/YDR226W/YNL037C/YML126C/YDL205C/YLL041C/YLR258W/YER065C/YLR174W/YIL020C/YMR108W/YKL152C/YJR073C/YBR221C/YOL058W/YOR347C/YGR060W/YMR220W/YIL125W/YER005W/YPL069C/YBR249C/YER073W/YDR399W/YOR374W/YKL211C/YNR050C/YML110C/YKL127W/YLR134W/YIL162W/YNL241C/YOL096C/YFR015C/YDR538W/YCR004C/YGR155W/YDR234W/YBR052C/YLR355C/YPR160W/YOR221C/YHR137W/YMR015C/YCL064C/YGR061C/YJL121C/YLR028C/YDL078C/YER086W/YAR015W/YGR254W/YDR516C/YDL193W/YBL011W/YJR148W/YOL086C/YJL071W/YIL145C/YGL205W/YOL126C/YNL316C/YHL011C/YLR354C/YPL117C/YGL245W/YFR025C/YPL273W/YER090W/YKL106W/YOR136W/YNL274C/YMR062C/YGR088W/YHR183W/YKL085W/YER026C/YDR178W/YCR012W/YBR213W/YER099C/YHR072W/YMR169C/YHR216W/YJL196C/YAL044C/YGL148W/YKL060C/YDR007W/YPR026W/YAL012W/YJL097W/YML035C/YLR359W/YKR067W/YPR060C/YCR105W/YDL080C/YIL116W/YOL140W/YLR100W/YER055C/YER091C/YPL028W",325
"sce04011","sce04011","MAPK signaling pathway - yeast","112/1985","114/2408",5.36020577171714e-08,1.71526584694948e-06,8.83963758844581e-07,"YMR172W/YFL026W/YHR084W/YBR182C/YJL187C/YOR231W/YKL062W/YPR119W/YOR212W/YBR160W/YBR083W/YLR079W/YPR120C/YLR342W/YDL006W/YMR199W/YLR425W/YNL145W/YDR466W/YPL140C/YER177W/YIL159W/YOR008C/YHR135C/YLL021W/YOL151W/YIL147C/YER111C/YLR362W/YGR032W/YDL022W/YOL113W/YDR144C/YNL167C/YMR036C/YER118C/YPL089C/YER125W/YJR086W/YOL059W/YLR113W/YGR108W/YDR208W/YDR389W/YJL095W/YBR200W/YGR023W/YGR109C/YER155C/YCL032W/YNL154C/YLR006C/YGL089C/YBL016W/YOL105C/YDR256C/YDL159W/YNR031C/YKL178C/YOR127W/YLR452C/YDR480W/YDR099W/YHL007C/YJL157C/YLR120C/YNL283C/YPR165W/YDR103W/YPL256C/YLR229C/YPR075C/YCR073C/YMR043W/YNL271C/YNL053W/YDR420W/YKL101W/YER075C/YBR133C/YMR037C/YOR208W/YGR040W/YMR164C/YPL049C/YBL105C/YDR490C/YAL041W/YCR084C/YNL298W/YKL161C/YIL113W/YHR030C/YGR070W/YHR005C/YBR112C/YGR088W/YLR182W/YLR305C/YDR461W/YOL100W/YPL115C/YMR306W/YLR332W/YLR371W/YCL027W/YDR379W/YBR279W/YJL128C/YIL015W/YDL235C/YGR014W",112
"sce01240","sce01240","Biosynthesis of cofactors","127/1985","131/2408",1.67439682173942e-07,4.01855237217461e-06,2.07096449004612e-06,"YMR318C/YDR232W/YLR180W/YFL018C/YDL045C/YNR041C/YLR231C/YOR303W/YGL037C/YGL040C/YJR049C/YBR176W/YPL172C/YDR487C/YOR209C/YBR084W/YMR096W/YBL098W/YER141W/YDR428C/YKL024C/YER170W/YMR110C/YEL021W/YFL045C/YLR058C/YKL035W/YOR196C/YGR204W/YDR236C/YHR208W/YNL334C/YGR255C/YDL244W/YPL061W/YMR095C/YHR074W/YFL059W/YBL039C/YER003C/YNR058W/YGR010W/YDR196C/YFR047C/YER061C/YOL049W/YNR033W/YPL258C/YMR020W/YJR025C/YKL088W/YGR286C/YDR502C/YGR277C/YER014W/YBR256C/YDR032C/YOL033W/YDL166C/YDR047W/YOR241W/YDR044W/YJR109C/YKL216W/YLR239C/YBL033C/YBR263W/YKL067W/YOR184W/YDL055C/YML106W/YHR063C/YBR153W/YLR328W/YNL256W/YOR278W/YJR103W/YNL332W/YMR289W/YKR069W/YOL143C/YKL055C/YOR125C/YOR236W/YOR176W/YMR170C/YIL083C/YDR531W/YDR226W/YDL205C/YBR035C/YEL029C/YJR078W/YLR420W/YDR481C/YOR143C/YOL055C/YNR057C/YER073W/YOR374W/YMR271C/YML110C/YOL096C/YJR156C/YDR538W/YCR004C/YBR052C/YJL101C/YGR144W/YJL130C/YJR148W/YJL046W/YIL145C/YGR267C/YGL245W/YPL214C/YNR027W/YCL017C/YMR113W/YBR213W/YKL132C/YOL066C/YMR169C/YNL333W/YNL220W/YLR359W/YCR105W",127
"sce04141","sce04141","Protein processing in endoplasmic reticulum","92/1985","93/2408",2.32555857047463e-07,4.46507245531128e-06,2.30107900657489e-06,"YNR026C/YJR131W/YPL240C/YML013W/YPL218W/YIL016W/YPR181C/YBR229C/YMR149W/YDR057W/YLR378C/YHR079C/YOR085W/YGL022W/YBR169C/YKL073W/YMR161W/YDL232W/YIL005W/YDL072C/YOR336W/YLR080W/YBR101C/YJL002C/YDR059C/YIL109C/YJL073W/YFL044C/YJR007W/YIL030C/YKL213C/YGL226C-A/YLR090W/YOL013C/YEL002C/YER103W/YDR086C/YHR098C/YNL077W/YBR072W/YNL049C/YDR221W/YER100W/YOL031C/YBR082C/YNL209W/YAL005C/YDR518W/YLR207W/YDL190C/YJL034W/YDR171W/YBL075C/YNL064C/YER019C-A/YDL229W/YFL048C/YMR276W/YML019W/YOR288C/YDR283C/YPL096W/YBR273C/YBR170C/YMR214W/YDL126C/YBR283C/YEL037C/YBR201W/YMR264W/YPL094C/YOR103C/YML029W/YER087C-B/YOL133W/YDR328C/YOR254C/YLR208W/YCR067C/YGL027C/YCL043C/YDL132W/YLL024C/YMR186W/YML130C/YDL195W/YGR048W/YAL058W/YDR411C/YPL106C/YMR022W/YBL058W",92
"sce03013","sce03013","Nucleocytoplasmic transport","65/1985","65/2408",2.91880365214216e-06,4.67008584342745e-05,2.40673283597687e-05,"YOR185C/YOR160W/YMR308C/YER105C/YKR082W/YPL125W/YMR080C/YKR095W/YPR080W/YIL149C/YGL100W/YDL116W/YPL169C/YHR170W/YOR098C/YLL023C/YER107C/YAR002W/YBR118W/YLR347C/YFR002W/YGR218W/YNL189W/YMR235C/YLR293C/YMR047C/YPL178W/YNL253W/YDL207W/YLR335W/YOR046C/YDR335W/YJL039C/YHR077C/YLR018C/YDL084W/YGL092W/YDL064W/YBR017C/YKL068W/YGR072W/YML031W/YBL079W/YGL241W/YKL205W/YDR381W/YGR119C/YMR125W/YJL041W/YGL238W/YDR021W/YNL139C/YMR153W/YDR395W/YLR208W/YGL172W/YLR064W/YKL186C/YML103C/YDL088C/YER110C/YJR132W/YJR042W/YKL057C/YMR129W",65
"sce04138","sce04138","Autophagy - yeast","87/1985","90/2408",2.9577490505422e-05,0.000348842167527903,0.000179776117037406,"YKL062W/YBR234C/YML001W/YBR097W/YFR021W/YOR106W/YHR186C/YPL045W/YDL077C/YEL060C/YJL164C/YNR007C/YPL166W/YPR049C/YDL149W/YKL048C/YLR423C/YBR217W/YDL188C/YKL203C/YLR370C/YBR131W/YJR007W/YPL149W/YJR065C/YDR477W/YNL223W/YFL033C/YGL095C/YDR173C/YKL166C/YBR128C/YDR495C/YNL098C/YKL013C/YPL154C/YNL006W/YDR080W/YER129W/YKL196C/YPR185W/YJR110W/YDR207C/YLR431C/YGL180W/YLL042C/YHR171W/YMR028W/YJR066W/YMR197C/YPL031C/YGL212W/YLR240W/YOR101W/YAL002W/YIL062C/YPL100W/YDR283C/YNL242W/YPR040W/YMR037C/YNL101W/YKL146W/YDR062W/YDL134C/YOR003W/YLR148W/YGL124C/YLR396C/YEL009C/YDR017C/YPL120W/YBL078C/YPL203W/YHR030C/YCR068W/YNR035C/YHR205W/YMR231W/YJL178C/YHR071W/YMR296C/YCL038C/YDL029W/YGL179C/YBL050W/YBR080C",87
"sce04144","sce04144","Endocytosis","77/1985","79/2408",3.02341717435021e-05,0.000348842167527903,0.000179776117037406,"YHL002W/YKL002W/YLR025W/YBL037W/YBR234C/YLR181C/YOR181W/YKR014C/YML001W/YJR005W/YER144C/YIL044C/YKL041W/YGL210W/YOR275C/YKL007W/YMR077C/YOR069W/YPR173C/YLR370C/YNR006W/YJR065C/YER125W/YER122C/YDR208W/YGL095C/YER103W/YBL047C/YDR153C/YPL002C/YKL013C/YDL161W/YNL265C/YGL181W/YER031C/YPL065W/YDR069C/YCL008C/YNL209W/YAL005C/YOR094W/YJL036W/YKR031C/YJR125C/YOR089C/YJR031C/YBL075C/YHR012W/YDL229W/YPR165W/YIL062C/YLR229C/YDR524C/YGR206W/YDR323C/YDR486C/YIL034C/YGL206C/YDL192W/YFL005W/YJR058C/YDR170C/YLR206W/YOR357C/YDL226C/YEL022W/YDL137W/YDR388W/YJR102C/YKL079W/YJL154C/YJL053W/YNR035C/YLL024C/YLR417W/YDL029W/YOL062C",77
"sce03010","sce03010","Ribosome","173/1985","187/2408",3.27039532057409e-05,0.000348842167527903,0.000179776117037406,"YCR031C/YNL306W/YER056C-A/YBR031W/YLR075W/YEL054C/YLR167W/YKL180W/YNL284C/YOL120C/YPL198W/YKR094C/YNR036C/YJL189W/YNL301C/YML073C/YDR471W/YLR264W/YNL067W/YPL090C/YNL162W/YOL039W/YER131W/YIL133C/YMR286W/YJR145C/YDL083C/YGR085C/YPL081W/YJL136C/YGL068W/YDR064W/YNL002C/YLR325C/YML026C/YOR369C/YMR143W/YBL027W/YMR142C/YDL075W/YHR141C/YGR148C/YDL082W/YPL131W/YDR382W/YGL189C/YDR405W/YHL004W/YDL191W/YFR032C-A/YKR057W/YCR046C/YJR094W-A/YBR146W/YOL127W/YDR116C/YDR025W/YHR021C/YLR333C/YPR166C/YGL076C/YHL015W/YKL006W/YML063W/YNL178W/YHR147C/YBL087C/YLR185W/YDL184C/YBL092W/YOR234C/YGR034W/YDR418W/YBR251W/YDR447C/YGR118W/YLR448W/YHR203C/YLR367W/YLR029C/YER050C/YPL220W/YBR189W/YGR214W/YJL190C/YPL013C/YMR242C/YLR340W/YOR293W/YOR312C/YFR031C-A/YOR167C/YIL018W/YGL123W/YBR084C-A/YOR150W/YML025C/YMR193W/YDR012W/YCR003W/YLR388W/YPR132W/YBL072C/YPR043W/YDR237W/YLR344W/YOR063W/YDL061C/YGR027C/YML009C/YGL103W/YDR450W/YLR048W/YOR182C/YDL133C-A/YDL081C/YFL034C-A/YIL052C/YLR406C/YDL202W/YJL177W/YER102W/YBR048W/YHL033C/YKL156W/YNL069C/YPL143W/YJL096W/YNL302C/YDR500C/YBR181C/YJL063C/YDR041W/YML024W/YER117W/YLR287C-A/YMR194W/YDL130W/YGR220C/YGL147C/YPL183W-A/YLR441C/YPL249C-A/YOL040C/YGL031C/YNL081C/YPL173W/YMR188C/YER074W/YMR230W/YIL148W/YNL096C/YJR123W/YOL121C/YLR061W/YGL135W/YHR010W/YJL191W/YKL003C/YPL079W/YLR009W/YGL030W/YPR102C/YBR191W/YJR113C/YIL069C/YOR096W/YDL136W/YLL045C/YNL185C/YHL001W/YDR337W/YMR121C",173
"sce04120","sce04120","Ubiquitin mediated proteolysis","51/1985","51/2408",4.69387369732806e-05,0.000450611874943494,0.000232223225025704,"YLR167W/YKR094C/YFR036W/YLL036C/YGL240W/YPR180W/YDR118W/YDR457W/YKL022C/YGL003C/YDR059C/YGL058W/YHR166C/YER125W/YBL084C/YOL013C/YDR409W/YKL210W/YER100W/YBR082C/YOR339C/YGR003W/YDR177W/YDL190C/YDR092W/YJR090C/YPR066W/YKL010C/YLR102C/YDL064W/YDR390C/YOR249C/YGL116W/YLR127C/YDL008W/YIL046W/YOL133W/YPL046C/YIL148W/YDR054C/YLR306W/YDR328C/YNL172W/YGL141W/YLL039C/YDR030C/YDR260C/YDL132W/YEL012W/YMR022W/YFL009W",51
